id,module_code,dept_id,department_id,name,gender,age,id_number,phone
DOC10040031,MSDATA,0000,ID1004,高敏,男,46,32795872382124,13226214617
DOC10040032,MSDATA,0000,ID1004,赵刚,女,37,47569657120509,15441243049
DOC10040033,MSDATA,0000,ID1004,徐伟,女,44,76122664766174,16743655906
DOC10040034,MSDATA,0000,ID1004,吴娟,女,51,84074419525752,14593083945
DOC10040035,MSDATA,0000,ID1004,黄丹,女,37,63708832137821,19658114963
DOC10040036,MSDATA,0000,ID1004,陈艳丽,男,44,23933011242209,13235214542
DOC10040037,MSDATA,0000,ID1004,赵洋,女,51,83399890784455,15188552555
DOC10040038,MSDATA,0000,ID1004,朱杰,女,49,23464728219446,13419551894
DOC10040039,MSDATA,0000,ID1004,杨浩,男,28,49798814444711,14746521847
DOC10040040,MSDATA,0000,ID1004,陈志强,女,57,52028534268507,14931558293
DOC10040041,MSDATA,0000,ID1004,张红,女,41,61812692423061,18573184442
DOC10040042,MSDATA,0000,ID1004,高建华,女,25,55391430248120,19757980917
DOC10040043,MSDATA,0000,ID1004,马丹,男,25,82304243225175,14242872274
DOC10050001,MSDATA,0000,ID1005,马静,女,45,56523538135088,15725156727
DOC10050002,MSDATA,0000,ID1005,黄梅,女,56,83010867099917,14604707747
DOC10050003,MSDATA,0000,ID1005,张丽丽,女,38,46077563926565,14654175129
DOC10050004,MSDATA,0000,ID1005,朱桂英,女,37,91711376321404,15860782300
DOC10050005,MSDATA,0000,ID1005,王静,男,49,12040053209971,13158918197
DOC10050006,MSDATA,0000,ID1005,李伟,男,30,60154295738186,15778472481
DOC10050007,MSDATA,0000,ID1005,朱伟,女,40,22933128152495,14317490444
DOC10050008,MSDATA,0000,ID1005,刘超,男,34,38895130611723,15207078587
DOC10050009,MSDATA,0000,ID1005,周俊,男,34,28433076635154,13690410557
DOC10050010,MSDATA,0000,ID1005,陈静,男,59,38007390999146,13103191533
DOC10050011,MSDATA,0000,ID1005,赵彬,男,28,20327493062771,13517255196
DOC10050012,MSDATA,0000,ID1005,冯艳丽,女,40,96093717985453,19396850538
DOC10050013,MSDATA,0000,ID1005,朱艳芳,女,44,59718478143590,17793321276
DOC10050014,MSDATA,0000,ID1005,郭红,男,54,55005194736493,19738185342
DOC10050015,MSDATA,0000,ID1005,沈鹏,女,60,43123936303856,19382635901
DOC10050016,MSDATA,0000,ID1005,赵建国,女,56,21653622533758,14163050810
DOC10050017,MSDATA,0000,ID1005,马娜,男,30,37637926429428,16929480207
DOC10050018,MSDATA,0000,ID1005,郑浩,男,60,33341240915484,19114969122
DOC10050019,MSDATA,0000,ID1005,吴平,女,30,29011167639205,17146852422
DOC10050020,MSDATA,0000,ID1005,王坤,男,28,28342457537344,14830511766
DOC10050021,MSDATA,0000,ID1005,赵俊,女,34,59655271335554,17935812076
DOC10050022,MSDATA,0000,ID1005,高秀英,女,28,21049285294901,16465266996
DOC10050023,MSDATA,0000,ID1005,马桂英,男,31,94150215764752,13541953106
DOC10050024,MSDATA,0000,ID1005,周艳丽,男,40,39922630912572,15870884698
DOC10050025,MSDATA,0000,ID1005,陈秀英,女,57,95500049573159,13738840423
DOC10050026,MSDATA,0000,ID1005,朱秀英,男,60,23662299391315,19505987432
DOC10050027,MSDATA,0000,ID1005,徐娟,女,33,81537727429830,13934465908
DOC10050028,MSDATA,0000,ID1005,徐江,男,34,39113525658596,13522305117
DOC10050029,MSDATA,0000,ID1005,马坤,女,27,18782299956839,19986301864
DOC10050030,MSDATA,0000,ID1005,王建国,女,39,77761479746936,15362443497
DOC10050031,MSDATA,0000,ID1005,张俊,男,55,61346676583656,15222330225
DOC10060001,MSDATA,0000,ID1006,郭磊,男,37,65374177963714,19714320709
DOC10060002,MSDATA,0000,ID1006,吴霞,男,47,20032477107317,18680825511
DOC10060003,MSDATA,0000,ID1006,黄秀兰,男,48,51053632011874,15959230967
DOC10060004,MSDATA,0000,ID1006,陈勇,女,51,59127254740667,14932972715
DOC10060005,MSDATA,0000,ID1006,郑桂英,女,41,83772321966237,15185162966
DOC10060006,MSDATA,0000,ID1006,郑艳丽,女,40,72898954156651,14905713587
DOC10060007,MSDATA,0000,ID1006,王娜,女,60,11611982689369,15937675228
DOC10060008,MSDATA,0000,ID1006,陈艳芳,女,41,84655821666516,15132666197
DOC10060009,MSDATA,0000,ID1006,韩峰,男,48,78581059892839,16938949896
DOC10060010,MSDATA,0000,ID1006,刘俊,男,34,44951175650456,18295987751
DOC10060011,MSDATA,0000,ID1006,张静,男,45,27086349867440,15425371294
DOC10060012,MSDATA,0000,ID1006,马杰,男,32,52267399938602,17549670302
DOC10060013,MSDATA,0000,ID1006,冯霞,男,43,34267610728744,13820475178
DOC10060014,MSDATA,0000,ID1006,张玉华,男,56,46398789942715,13901445592
DOC10060015,MSDATA,0000,ID1006,唐浩,男,43,80575487350591,14710796475
DOC10060016,MSDATA,0000,ID1006,唐艳丽,女,54,48882776551108,18679000977
DOC10060017,MSDATA,0000,ID1006,郑秀兰,男,30,29609227563710,16779283781
DOC10060018,MSDATA,0000,ID1006,徐坤,男,39,36536732241716,18758534608
DOC10060019,MSDATA,0000,ID1006,朱鹏,女,59,42643670414514,15472583119
DOC10060020,MSDATA,0000,ID1006,赵洋,女,38,66002475599201,19743754905
DOC10060021,MSDATA,0000,ID1006,刘敏,男,59,81849455385597,13342070910
DOC10060022,MSDATA,0000,ID1006,唐军,男,59,50937335624634,18938211440
DOC10060023,MSDATA,0000,ID1006,李秀英,男,39,74635551516655,19594962154
DOC10060024,MSDATA,0000,ID1006,杨明,女,57,84266384652943,18776288192
DOC10060025,MSDATA,0000,ID1006,赵鹏,男,47,89053814239606,19442778007
DOC10060026,MSDATA,0000,ID1006,唐强,女,56,89537153138919,18612332938
DOC10060027,MSDATA,0000,ID1006,吴梅,女,40,11835883035401,16635449877
DOC10060028,MSDATA,0000,ID1006,陈红,男,43,33778874352656,15934687147
DOC10060029,MSDATA,0000,ID1006,吴鹏,女,59,87524830162020,19698529515
DOC10060030,MSDATA,0000,ID1006,李艳,女,29,69547377798750,17676047615
