id,module_code,dept_id,name,gender,age,id_number,phone,emergency_contact
PAT000085,MSDATA,0000,张平,女,104,19908937031675,14345311119,19490309985
PAT000086,MSDATA,0000,郑琳,女,87,85028379497403,14302052920,14957992559
PAT000087,MSDATA,0000,徐艳丽,女,41,75492728581593,17677272727,13193530857
PAT000088,MSDATA,0000,王楠,男,5,50390995892494,16305997661,17288396515
PAT000089,MSDATA,0000,赵桂英,男,67,95841351612139,15483419607,15233591931
PAT000090,MSDATA,0000,吴峰,男,21,31552124890783,16552856738,16692753129
PAT000091,MSDATA,0000,徐浩,女,97,19926976740684,18533758191,15805608506
PAT000092,MSDATA,0000,沈慧,男,14,68114830630413,17881124441,18394971137
PAT000093,MSDATA,0000,高丽娟,女,8,27705867823951,17708900833,19841115683
PAT000094,MSDATA,0000,郑丹,男,30,87454879629468,19705354099,16352541345
PAT000095,MSDATA,0000,何利,女,37,44567932462701,14107784428,18368508426
PAT000096,MSDATA,0000,唐建国,男,33,52725759418238,18362008237,14763533409
PAT000097,MSDATA,0000,郑军,男,70,87717125702710,15887828039,15336498467
PAT000098,MSDATA,0000,沈杰,女,33,60087625883297,13317426524,17110536057
PAT000099,MSDATA,0000,高桂英,男,107,87599645644711,16367933493,15826733155
PAT000100,MSDATA,0000,郑磊,男,96,22008110950681,19996673879,13613586004
PAT000101,MSDATA,0000,罗志强,女,9,40195442907545,19707929374,19659727188
PAT000102,MSDATA,0000,许红,男,49,73837066790666,15538607504,18927874945
PAT000103,MSDATA,0000,郑江,男,67,30674274950172,16792230972,13243899589
PAT000104,MSDATA,0000,王霞,男,63,75245698001284,14780456418,16245888394
PAT000105,MSDATA,0000,周艳丽,女,111,40446588669259,13753873342,18219720227
PAT000106,MSDATA,0000,宋艳红,男,38,68589732583530,19733384958,13127359724
PAT000107,MSDATA,0000,王江,女,75,89998549750468,18990195946,14838070444
PAT000108,MSDATA,0000,何霞,男,29,31663153240978,16563583404,15112696231
PAT000109,MSDATA,0000,冯伟,女,76,86299164802936,18659661927,19449983434
PAT000110,MSDATA,0000,黄志强,男,25,84289699710131,19601926205,18559424628
PAT000111,MSDATA,0000,郑丽丽,女,63,91019071713615,13239577964,18502094462
PAT000112,MSDATA,0000,沈玉华,女,33,26544730184867,16298713773,14439142831
PAT000113,MSDATA,0000,高涛,男,94,94384338786784,14960798264,17110813835
PAT000114,MSDATA,0000,罗艳,女,90,45053126237750,15590676410,16932415290
PAT000115,MSDATA,0000,郑明,男,103,72499082170776,18256494894,17733960707
PAT000116,MSDATA,0000,李洋,女,30,85408044214047,15444962055,16608012826
PAT000117,MSDATA,0000,周涛,男,107,59041166485972,19238878209,18430427488
PAT000118,MSDATA,0000,唐娟,男,73,31127342812096,13429146944,17489560500
PAT000119,MSDATA,0000,梁艳,女,62,19763581582828,17449491164,17881219714
PAT000120,MSDATA,0000,张利,男,63,34360361585985,17940217694,14982820772
PAT000121,MSDATA,0000,梁军,男,55,91242552025369,13421044229,19816850445
PAT000122,MSDATA,0000,杨秀兰,女,63,87906250497401,16156124716,16251064470
PAT000123,MSDATA,0000,吴刚,女,34,10507322964504,19893131596,15336228620
PAT000124,MSDATA,0000,赵旭,男,30,54213969463803,19532005333,18666748240
PAT000125,MSDATA,0000,徐楠,女,76,51027764297313,14223140404,19479215187
PAT000126,MSDATA,0000,邓艳红,女,7,15505169516864,17659949970,17649954960
PAT000127,MSDATA,0000,沈军,女,22,75213080121679,19526997212,14837015192
PAT000128,MSDATA,0000,黄建华,男,30,44138343651086,16470338542,19822140752
PAT000129,MSDATA,0000,梁霞,男,30,20922974181551,15243392987,19177271394
PAT000130,MSDATA,0000,罗丽丽,女,19,62886094899010,17367299143,13509260387
PAT000131,MSDATA,0000,吴丹,男,73,66413794650614,16323036164,18912727794
PAT000132,MSDATA,0000,刘磊,男,6,54897756399897,19278560728,18778503973
PAT000133,MSDATA,0000,许丽,男,43,92212885936281,18596592112,17683353054
PAT000134,MSDATA,0000,宋亮,女,56,46693524030553,17843166700,18435289176
PAT000135,MSDATA,0000,胡刚,女,12,53076939491624,13162293065,19381952922
PAT000136,MSDATA,0000,朱玉华,女,111,47682199315158,14715883269,14491186369
PAT000137,MSDATA,0000,沈俊,男,62,98195535110641,13401841891,17826966093
PAT000138,MSDATA,0000,曹勇,女,53,21629928822815,16985490908,19522259241
PAT000139,MSDATA,0000,王亮,女,103,55102785894776,13672430062,13496189762
PAT000140,MSDATA,0000,邓静,女,26,69815246471222,19947170032,19741276373
PAT000141,MSDATA,0000,罗静,女,42,71857623978900,15115603627,18850336715
PAT000142,MSDATA,0000,郭磊,男,14,45813390511370,18804432663,16985442902
PAT000143,MSDATA,0000,张秀兰,女,30,44231935920476,18311242612,18813659631
PAT000144,MSDATA,0000,刘梅,男,83,47190115016993,16918388369,19559277564
PAT000145,MSDATA,0000,吴娟,女,20,51350219975762,18253285311,13664388573
PAT000146,MSDATA,0000,曹明,女,102,36927494343930,19341596809,13286695412
PAT000147,MSDATA,0000,徐杰,女,113,44519778241000,17644543953,14640316804
PAT000148,MSDATA,0000,李强,男,30,96328884422642,16599116571,14141803662
PAT000149,MSDATA,0000,朱江,女,40,19647595119784,17169870811,13744715549
PAT000150,MSDATA,0000,张志强,男,22,15708216261064,15731796938,13624516847
PAT000151,MSDATA,0000,黄红,男,85,33091765018880,16997197089,18111632638
PAT000152,MSDATA,0000,马宇,女,22,48819287817422,19921712886,13243643738
PAT000153,MSDATA,0000,曹平,男,90,72179593086050,14246113953,15643764879
PAT000154,MSDATA,0000,朱秀英,女,70,94304446466819,16856127693,16148944546
PAT000155,MSDATA,0000,胡建华,男,112,70382180008721,14587976006,17903349952
PAT000156,MSDATA,0000,何浩,女,14,97309024659333,19946421088,19911978470
PAT000157,MSDATA,0000,宋明,女,57,60952485591512,16555217083,14385000478
PAT000158,MSDATA,0000,李鹏,女,42,12015867588644,16366901854,16370378010
PAT000159,MSDATA,0000,赵伟,男,95,41697666546008,18454577291,17749895208
PAT000160,MSDATA,0000,郑强,男,61,89187553997309,16458953235,13593126024
PAT000161,MSDATA,0000,郑桂英,男,26,51760849682873,13538359774,13892472760
PAT000162,MSDATA,0000,沈红,女,45,24348998653618,17798292848,15920150091
PAT000163,MSDATA,0000,郭军,男,67,78856049708111,19410749919,17134385772
PAT000164,MSDATA,0000,李娜,男,25,40871187406032,18117526536,15923952840
PAT000165,MSDATA,0000,马俊,男,1,92832711705060,18665796919,16962704085
PAT000166,MSDATA,0000,宋超,女,62,12687842339252,13318540468,13896698579
PAT000167,MSDATA,0000,杨强,女,73,32851513639280,19184996072,19536989262
PAT000168,MSDATA,0000,李强,男,48,85880377358890,14330692884,16534829237
PAT000169,MSDATA,0000,郑娟,女,37,29549215195048,14512125604,13229557175
PAT000170,MSDATA,0000,许玉华,女,81,16196496093318,18161774602,17343401992
PAT000171,MSDATA,0000,曹旭,女,35,36029383091002,14431930487,13441361910
PAT000172,MSDATA,0000,马杰,女,52,71885538308098,17771882908,17628664346
PAT000173,MSDATA,0000,郭建国,男,42,32145233603271,17647348527,16974194605
PAT000174,MSDATA,0000,林旭,男,6,99756589449540,16347973301,13688382267
PAT000175,MSDATA,0000,刘宇,女,90,62765160990860,17377646807,14522333549
PAT000176,MSDATA,0000,许艳红,男,39,14183421375222,18670332006,15286680915
PAT000177,MSDATA,0000,韩超,男,50,47999492064535,14175070453,19814815286
PAT000178,MSDATA,0000,吴浩,男,92,20203416877561,15127901409,17882717260
PAT000179,MSDATA,0000,朱静,女,20,95121761587973,16472423299,16768797744
PAT000180,MSDATA,0000,韩勇,男,20,31798867871315,17809522750,19609832581
PAT000181,MSDATA,0000,郑静,男,99,70871652234134,19368004869,14509127016
PAT000182,MSDATA,0000,周伟,男,90,24472929188314,14881355639,17980997283
PAT000183,MSDATA,0000,唐利,男,120,63177095266773,18645046756,13341881924
PAT000184,MSDATA,0000,黄利,女,18,65281359019169,18315532678,17272042505
PAT000185,MSDATA,0000,张博,女,42,37849217946340,16711531249,14930174788
PAT000186,MSDATA,0000,王坤,女,53,23701219805851,15220235198,19541777003
PAT000187,MSDATA,0000,徐志强,男,29,72816091532938,17545441874,18707935378
PAT000188,MSDATA,0000,刘利,男,5,51466317548184,16523960803,17168840418
PAT000189,MSDATA,0000,朱洋,男,5,11082798389935,18838391330,18154861873
PAT000190,MSDATA,0000,林俊,男,75,26308332854811,14265480832,15370466875
PAT000191,MSDATA,0000,马楠,男,60,99833977088797,17645178926,19585538488
PAT000192,MSDATA,0000,王艳芳,女,2,51053270179945,17207641109,13712466381
PAT000193,MSDATA,0000,唐娟,女,78,41623072082989,13469650806,13262482230
PAT000194,MSDATA,0000,王丽丽,女,79,40051048134318,16547121548,14480129737
PAT000195,MSDATA,0000,冯艳,男,104,37449565155467,13847161977,15535678317
PAT000196,MSDATA,0000,高娜,女,113,91019194130452,15627344240,16418597155
PAT000197,MSDATA,0000,赵楠,男,81,13878633217847,13733446416,13218984085
PAT000198,MSDATA,0000,唐伟,男,37,51032368752216,14268049370,13154990979
PAT000199,MSDATA,0000,张鹏,男,69,24918995620355,16101222462,16905654160
PAT000200,MSDATA,0000,郑琳,女,15,65815623155506,17674669306,19928896476
PAT000201,MSDATA,0000,冯坤,男,70,23044752552691,19922215962,17459036518
PAT000202,MSDATA,0000,王芳,男,8,81644330525796,14310943348,17966508475
PAT000203,MSDATA,0000,梁建国,女,60,81449350874723,16394022704,15271444136
PAT000204,MSDATA,0000,杨娴,男,42,96241651050132,16741783305,19709424435
PAT000205,MSDATA,0000,唐飞,男,15,34191821054399,16831244502,19448541741
PAT000206,MSDATA,0000,胡丹,女,31,57257923350359,15131284749,15836643324
PAT000207,MSDATA,0000,韩超,男,43,58768553529750,15192322494,19642889825
PAT000208,MSDATA,0000,张楠,女,5,62659914175427,14804289037,15524535558
PAT000209,MSDATA,0000,杨静,男,29,68629622112651,14685760672,17886297119
PAT000210,MSDATA,0000,邓建国,男,67,48323538908821,15368268274,19119897971
PAT000211,MSDATA,0000,刘利,女,68,49575787410466,17602211281,15282966580
PAT000212,MSDATA,0000,马利,女,65,31218289285736,17770139325,16479218816
PAT000213,MSDATA,0000,陈静,男,44,87581382987475,19421152421,13761368532
PAT000214,MSDATA,0000,刘艳红,男,5,21966775160632,13349513621,18821769836
PAT000215,MSDATA,0000,许艳,女,19,85528013494678,14334172642,15951562481
PAT000216,MSDATA,0000,梁娜,男,21,67557021063593,19125703018,18616904406
PAT000217,MSDATA,0000,马琪,男,118,40889272273786,17271072519,18230597850
PAT000218,MSDATA,0000,马艳,女,8,75969518757646,14474046263,18445938743
PAT000219,MSDATA,0000,罗洋,女,90,80203110133891,14122608168,16383544361
PAT000220,MSDATA,0000,吴丽,女,22,92711997459698,16329952695,15494738360
PAT000221,MSDATA,0000,李桂英,男,104,90033143432851,16143174258,19595698403
PAT000222,MSDATA,0000,曹建华,女,45,11670790595778,17680846879,13697533404
PAT000223,MSDATA,0000,李娜,男,6,15727594183323,14991490347,19226577967
PAT000224,MSDATA,0000,曹桂英,女,72,16585591241478,14722583023,13201702194
PAT000225,MSDATA,0000,许艳丽,男,78,66432025104744,16985492283,15644327650
PAT000226,MSDATA,0000,赵艳红,男,28,10830095516829,13263020439,15653882809
PAT000227,MSDATA,0000,王娟,女,66,73588610004041,18137365655,19659066372
PAT000228,MSDATA,0000,朱琪,女,59,87388981327185,15128634663,13558616998
PAT000229,MSDATA,0000,胡军,女,81,54326173781180,13620372918,19944760692
PAT000230,MSDATA,0000,陈杰,男,75,13375186786623,19216189713,15514577142
PAT000231,MSDATA,0000,杨艳芳,男,23,24756067050026,13919642675,17495321044
PAT000232,MSDATA,0000,张浩,男,115,99784882676941,18164066793,17760910449
PAT000233,MSDATA,0000,胡娜,女,26,83352663936417,17281958195,19766993061
PAT000234,MSDATA,0000,杨飞,女,8,67329527785187,18354765770,14984174434
PAT000235,MSDATA,0000,宋楠,男,29,67902188746686,15673808368,17286980813
PAT000236,MSDATA,0000,宋刚,女,52,20099730162565,16707157900,15522375684
PAT000237,MSDATA,0000,沈丽丽,男,55,54468162611947,13795205437,19314705610
PAT000238,MSDATA,0000,张平,男,100,66533688219864,18524076791,15494933421
PAT000239,MSDATA,0000,郭慧,男,53,58278479140562,19651650745,16855761595
PAT000240,MSDATA,0000,徐洋,男,78,34731065943332,15406065649,14861945831
PAT000241,MSDATA,0000,何平,女,16,75770167814853,19326590670,15356397951
PAT000242,MSDATA,0000,许志强,男,38,78651510650839,16977042518,15704623925
PAT000243,MSDATA,0000,罗亮,男,13,13393497610071,19932241550,13940176910
PAT000244,MSDATA,0000,曹建国,男,4,41192331844109,16267066884,19286964641
PAT000245,MSDATA,0000,唐红,男,68,92010096053232,17830941752,15417915298
PAT000246,MSDATA,0000,冯静,女,1,23900772870886,15440475435,16430660726
PAT000247,MSDATA,0000,许秀英,男,51,71859765641194,13339712024,18321827981
PAT000248,MSDATA,0000,赵杰,男,107,78742142458805,13852344364,19608010205
PAT000249,MSDATA,0000,陈飞,女,31,52456587185827,18312218845,14167214142
PAT000250,MSDATA,0000,吴丹,男,50,71189634930340,19460436505,13845338212
PAT000251,MSDATA,0000,张建华,男,41,78824318531389,18401446984,16195838508
PAT000252,MSDATA,0000,许旭,女,36,41076922745115,16491494602,16861743185
PAT000253,MSDATA,0000,郑丽娟,女,72,97004059865452,15378184881,15333749590
PAT000254,MSDATA,0000,徐丽娟,女,49,65922662940375,17781044832,18163830046
PAT000255,MSDATA,0000,赵博,男,120,75714292567877,19862651038,17116702722
PAT000256,MSDATA,0000,马丽,女,83,42061280061195,13143106603,19262930501
PAT000257,MSDATA,0000,罗桂英,女,97,83708245508085,17241024572,16198023010
PAT000258,MSDATA,0000,朱宇,女,77,72242066217021,17647013324,14887616500
PAT000259,MSDATA,0000,罗丽丽,女,94,12782178579543,19506227278,14622419871
PAT000260,MSDATA,0000,唐飞,女,45,65499779657500,13489261765,15184930837
PAT000261,MSDATA,0000,宋静,女,36,39203385885911,19200181621,14759971397
PAT000262,MSDATA,0000,张秀兰,男,99,84379582642294,14873502272,19555842997
PAT000263,MSDATA,0000,张梅,男,60,57439363509565,17666802088,19159318392
PAT000264,MSDATA,0000,郭洋,男,20,59783118601418,19979026077,14570575531
PAT000265,MSDATA,0000,邓秀英,男,25,14386949236157,13920632051,17107810738
PAT000266,MSDATA,0000,梁坤,男,1,86482762270328,18880633038,13436560392
PAT000267,MSDATA,0000,杨红,女,15,20263614983948,16116990082,13740168091
PAT000268,MSDATA,0000,唐芳,男,34,19031976548836,13298501281,17745583611
PAT000269,MSDATA,0000,韩亮,男,0,20252929901213,14602927976,17484545027
PAT000270,MSDATA,0000,宋志强,女,49,75723073965344,18909445065,17892653337
PAT000271,MSDATA,0000,王飞,男,29,45007416204938,13105193669,18306750128
PAT000272,MSDATA,0000,林秀英,男,76,47194315390008,13475494172,17139022202
PAT000273,MSDATA,0000,高俊,女,2,80609366469302,19492992422,18790560030
PAT000274,MSDATA,0000,高娴,男,71,62226755558878,13590007389,18572603222
PAT000275,MSDATA,0000,何丽丽,男,106,67907742882848,13642712055,16194920665
PAT000276,MSDATA,0000,宋杰,女,24,71700516728030,13288650750,14166865539
PAT000277,MSDATA,0000,徐刚,男,106,64405249441581,15754882672,16325296309
PAT000278,MSDATA,0000,王丹,男,51,57949349150690,16266515471,15634784921
PAT000279,MSDATA,0000,唐峰,男,34,30328839913246,13438571124,18608743490
PAT000280,MSDATA,0000,韩娟,男,43,10359066939811,14611155990,13572558493
PAT000281,MSDATA,0000,唐玉华,女,5,28961514219544,19727456851,16168616114
PAT000282,MSDATA,0000,唐博,男,98,88416869225617,14795606324,15990164721
PAT000283,MSDATA,0000,朱旭,女,84,46177173893406,13784586106,16912464357
PAT000284,MSDATA,0000,陈娟,女,31,42711419261123,18189212906,15892770005
PAT000285,MSDATA,0000,宋洋,男,9,80394758118749,19340023779,17781766822
PAT000286,MSDATA,0000,韩伟,男,64,63920465694198,15460906613,14235642235
PAT000287,MSDATA,0000,刘玉华,男,1,97779445752454,13275415011,14154409371
PAT000288,MSDATA,0000,王芳,女,81,47266276929289,13666835519,13557448304
PAT000289,MSDATA,0000,罗秀英,男,6,83165189368729,17312942158,17658748811
PAT000290,MSDATA,0000,杨平,男,73,39929293627271,16819992612,15599631687
PAT000291,MSDATA,0000,吴涛,女,64,52132273488130,17551224025,17597249353
PAT000292,MSDATA,0000,邓飞,女,22,77766463822312,15257390788,18227863966
PAT000293,MSDATA,0000,冯琪,男,59,81218932493919,16690681539,13823246670
PAT000294,MSDATA,0000,黄艳,男,60,82445943002650,18565257491,19403561979
PAT000295,MSDATA,0000,赵楠,男,100,84350562374656,15900612782,14631466339
PAT000296,MSDATA,0000,郭志强,女,12,97979020499503,15221107492,17134709125
PAT000297,MSDATA,0000,邓敏,女,63,90698542748624,18980177706,14814619387
PAT000298,MSDATA,0000,林楠,男,59,70121564434492,18803800710,17568408517
PAT000299,MSDATA,0000,郭丽丽,男,40,27187381871750,16283747543,13699692862
PAT000300,MSDATA,0000,唐明,女,95,24138412518197,15121578542,19457687565
PAT000301,MSDATA,0000,郑峰,男,54,82859855300374,13927941049,16432364940
PAT000302,MSDATA,0000,高丽丽,男,72,99033923255776,13417703545,14888288597
PAT000303,MSDATA,0000,马敏,男,40,93143856341725,14232653162,19614640088
PAT000304,MSDATA,0000,冯伟,男,62,89922012254923,18852077282,13577885581
PAT000305,MSDATA,0000,杨杰,女,1,45742739939202,16127030961,13664734460
PAT000306,MSDATA,0000,何浩,男,52,25437620920261,16496421503,15714107873
PAT000307,MSDATA,0000,高博,女,28,46409838338097,17292355984,17866905407
PAT000308,MSDATA,0000,罗丽,男,109,54918373763835,13191538894,13561901504
PAT000309,MSDATA,0000,许静,女,32,45450293699954,18983701247,19865828320
PAT000310,MSDATA,0000,沈建华,女,108,89855966771914,15555731786,18925568373
PAT000311,MSDATA,0000,宋娴,女,119,11536654995922,13608566528,16449716629
PAT000312,MSDATA,0000,胡军,男,103,27544614800836,18960665914,15480990150
PAT000313,MSDATA,0000,赵利,女,85,78409869895652,14295795373,13418260029
PAT000314,MSDATA,0000,罗秀英,女,72,36750742435221,14887522466,14533500826
PAT000315,MSDATA,0000,邓彬,男,114,86593262252238,17171620459,17667756562
PAT000316,MSDATA,0000,张飞,男,92,82533446278915,17199078580,16707793905
PAT000317,MSDATA,0000,何桂英,男,70,96790247000795,16940618386,19787427063
PAT000318,MSDATA,0000,郑飞,女,6,97647378798256,17178243236,18822570676
PAT000319,MSDATA,0000,许峰,女,76,77807299507164,13179348894,13434569621
PAT000320,MSDATA,0000,郭梅,女,29,16257811092850,19158868414,17654760376
PAT000321,MSDATA,0000,冯艳红,男,88,45303036395024,17832847466,16514965974
PAT000322,MSDATA,0000,郑桂英,男,1,86201213351603,13106424929,17492626941
PAT000323,MSDATA,0000,许宇,女,36,57017220145898,17400183841,15358500065
PAT000324,MSDATA,0000,朱慧,男,0,96692256390602,16383948161,16727727323
PAT000325,MSDATA,0000,高建国,男,91,10429523710830,18784775838,16351994233
PAT000326,MSDATA,0000,朱霞,男,59,45939035869357,17463923747,14266794287
PAT000327,MSDATA,0000,黄旭,女,21,18046092868152,16112454032,15375181780
PAT000328,MSDATA,0000,杨俊,男,84,94462191758063,17541323056,19447255398
PAT000329,MSDATA,0000,王峰,女,120,46931461301574,14978639677,17664268740
PAT000330,MSDATA,0000,曹刚,女,90,27302561301165,15540626314,14105320311
PAT000331,MSDATA,0000,陈娴,男,76,65150771983675,13241212811,18348908891
PAT000332,MSDATA,0000,黄明,男,64,40284387493782,19108151778,19119472790
PAT000333,MSDATA,0000,朱磊,女,94,32097764291945,15286634979,17128452325
PAT000334,MSDATA,0000,马艳芳,男,66,53351381711318,19766085175,18102778448
PAT000335,MSDATA,0000,朱楠,男,106,72261575878580,19169028120,18547860922
PAT000336,MSDATA,0000,杨洋,女,33,10405613073483,17113382058,15254594803
PAT000337,MSDATA,0000,杨静,男,10,62754527782097,17874787491,17320694662
PAT000338,MSDATA,0000,马杰,女,38,91595170105351,19294877854,14351990245
PAT000339,MSDATA,0000,郭琳,男,56,17994692566744,16767460223,16105158833
PAT000340,MSDATA,0000,郑强,男,47,90402038155201,16629880946,15613848721
PAT000341,MSDATA,0000,曹艳芳,女,23,30846839236280,19964792677,15101535060
PAT000342,MSDATA,0000,唐飞,女,41,44934836409220,16672748576,14112925753
PAT000343,MSDATA,0000,郑宇,女,75,97476134579880,18536961821,14492030575
PAT000344,MSDATA,0000,李琪,男,12,76438862683269,14946947662,13195077130
PAT000345,MSDATA,0000,杨桂英,男,117,55560071508915,18354881994,16893233563
PAT000346,MSDATA,0000,胡强,女,23,53212379659823,17813574849,16877791601
PAT000347,MSDATA,0000,林建国,男,110,30259315336841,17459984649,15864778166
PAT000348,MSDATA,0000,梁亮,男,99,98274794742445,14783623519,18248162596
PAT000349,MSDATA,0000,刘利,男,49,17533339299821,18855810115,19560519878
PAT000350,MSDATA,0000,王彬,男,93,89769399068870,18827724805,18625080712
